id,first_name,last_name,age,country,team,bike,first_gp_year,wins,podiums,poles,race_fastest_laps,championships
43,Valentino,Rossi,41,Italy,"Monster Energy Yamaha",YZR-M1,2000,89,198,55,76,7
93,Marc,Marquez,27,Spain,"Repsol Honda",RC213V,2013,56,95,62,56,6
4,Andrea,Dovizioso,34,Italy,"Ducati Corse","Desmosedici GP",2008,14,60,7,11,0
42,Alex,Rins,24,Spain,"Suzuki Ecstar","GSX-RR MotoGP",2017,2,8,0,2,0
12,Maverick,Vinales,25,Spain,"Monster Energy Yamaha",YZR-M1,2015,7,23,9,9,0
73,Alex,Marquez,24,Spain,"Repsol Honda",RC213V,2020,0,0,0,0,0
9,Danilo,Petrucci,29,Italy,"Ducati Corse","Desmosedici GP",2012,1,9,0,2,0
36,Joan,Mir,22,Spain,"Suzuki Ecstar","GSX-RR MotoGP",2019,0,0,0,0,0
21,Franco,Morbidelli,25,Italy,"Patronas Yamaha SRT",YZR-M1,2018,0,0,0,0,0
35,Cal,Crutchlow,34,England,"LCR Honda",RC213V,2011,3,19,4,4,0
43,Jack,Miller,25,Australia,"Pramac Ducati","Desmosedici GP",2015,1,6,1,1,0
5,Johann,Zarco,29,France,"Reale Avintia Ducati","Desmosedici GP",2017,0,6,4,4,0
20,Fabio,Quartararo,21,France,"Petronas Yamaha SRT",YZR-M1,2019,0,7,6,2,0
30,Takaaki,Nakagami,28,Japan,"LCR Honda",RC213V,2018,0,0,0,0,0
63,Francesco,Bagnaia,23,Italy,"Pramac Ducati","Desmosedici GP",2019,0,0,0,0,0
53,Tito,Rabat,30,Spain,"Reale Avintia Ducati","Desmosedici GP",2016,0,0,0,0,0
44,Pol,Espargaro,28,Spain,"Red Bull KTM",RC16,2014,0,1,0,0,0
88,Miguel,Oliveira,25,Portugal,"Red Bull KTM Tech3",RC16,2019,0,0,0,0,0
33,Brad,Binder,24,"South Africa","Red Bull KTM",RC16,2020,0,0,0,0,0
27,Iker,Lecuona,20,Spain,"Red Bull KTM Tech3",RC16,2019,0,0,0,0,0
41,Aleix,Espargaro,30,Spain,"Aprilia Team Gresini",RS-GP,2009,0,1,2,0,0
29,Andrea,Iannone,30,Italy,"Aprilia Team Gresini",RS-GP,2013,1,11,2,3,0
